"Date","Price","Open","High","Low","Change %"
"Aug 13, 2017","45.220","46.330","47.330","44.080","-2.27"
"Aug 12, 2017","46.270","47.060","47.800","46.010","-1.74"
"Aug 11, 2017","47.090","47.210","47.710","46.600","-0.23"
"Aug 10, 2017","47.200","47.690","48.600","47.100","-1.03"
"Aug 09, 2017","47.690","49.130","49.950","46.660","-2.79"
"Aug 08, 2017","49.060","45.990","49.980","45.770","6.68"
"Aug 07, 2017","45.990","45.330","46.500","45.020","1.46"
"Aug 06, 2017","45.330","45.850","46.650","44.790","-1.13"
"Aug 05, 2017","45.850","43.070","47.090","43.060","6.45"
"Aug 04, 2017","43.070","42.490","43.480","42.340","1.37"
"Aug 03, 2017","42.490","41.820","42.870","41.780","1.60"
"Aug 02, 2017","41.820","43.180","43.230","41.520","-3.15"
"Aug 01, 2017","43.180","42.230","43.840","41.180","2.20"
"Jul 31, 2017","42.250","40.010","43.500","38.400","5.60"
"Jul 30, 2017","40.010","38.760","42.000","38.730","2.91"
"Jul 29, 2017","38.880","40.800","40.980","38.420","-4.71"
"Jul 28, 2017","40.800","41.490","42.160","40.320","-1.66"
"Jul 27, 2017","41.490","41.990","42.300","40.810","-1.19"
"Jul 26, 2017","41.990","42.210","42.980","40.420","-0.52"
"Jul 25, 2017","42.210","45.010","45.140","40.320","-6.20"
"Jul 24, 2017","45.000","45.250","45.450","44.430","-0.55"
"Jul 23, 2017","45.250","46.680","46.940","44.100","-3.06"
"Jul 22, 2017","46.680","45.420","47.480","45.000","2.75"
"Jul 21, 2017","45.430","44.690","47.890","44.070","1.66"
"Jul 20, 2017","44.690","40.230","44.990","40.190","11.09"
"Jul 19, 2017","40.230","43.500","43.950","39.700","-7.50"
"Jul 18, 2017","43.490","42.360","44.980","40.630","2.67"
"Jul 17, 2017","42.360","40.610","43.070","39.790","4.31"
"Jul 16, 2017","40.610","38.140","41.720","34.790","6.39"
"Jul 15, 2017","38.170","42.720","42.760","37.510","-10.65"
"Jul 14, 2017","42.720","45.480","45.700","40.060","-6.07"
"Jul 13, 2017","45.480","46.980","47.700","44.100","-3.19"
"Jul 12, 2017","46.980","43.860","48.410","42.200","7.11"
"Jul 11, 2017","43.860","44.980","46.750","41.490","-2.49"
"Jul 10, 2017","44.980","48.740","49.720","42.200","-7.71"
"Jul 09, 2017","48.740","51.270","52.310","48.380","-4.93"
"Jul 08, 2017","51.270","46.190","52.220","44.280","11.00"
"Jul 07, 2017","46.190","51.140","51.240","44.570","-9.68"
"Jul 06, 2017","51.140","53.390","53.390","50.010","-4.23"
"Jul 05, 2017","53.400","55.090","56.170","49.160","-3.09"
"Jul 04, 2017","55.100","45.600","55.320","45.570","20.81"
"Jul 03, 2017","45.610","41.590","47.610","40.630","9.69"
"Jul 02, 2017","41.580","38.370","41.990","37.160","8.42"
"Jul 01, 2017","38.350","39.510","39.760","37.400","-2.94"
"Jun 30, 2017","39.510","40.200","41.190","39.250","-1.74"
"Jun 29, 2017","40.210","42.000","42.000","39.750","-4.26"
"Jun 28, 2017","42.000","40.430","43.380","37.970","3.88"
"Jun 27, 2017","40.430","38.250","40.430","33.710","5.56"
"Jun 26, 2017","38.300","40.870","41.960","33.780","-6.04"
"Jun 25, 2017","40.760","43.140","43.640","38.570","-5.45"
"Jun 24, 2017","43.110","46.030","46.130","42.080","-6.34"
"Jun 23, 2017","46.030","46.010","46.910","45.520","0.09"
"Jun 22, 2017","45.990","44.000","47.820","42.870","4.52"
"Jun 21, 2017","44.000","45.620","46.120","41.710","-3.55"
